cX cY
-5509.23584 -3577.437988
-5544.820801 -3582.25
-5561.604004 -3576.926025
-5580.779785 -3574.534912
-5599.687012 -3564.288086
-5605.921875 -3560.909912
-5623.729004 -3551.896973
-5640.221191 -3539.218994
-5652.091797 -3531.74292
-5675.167969 -3513.802002
-5680.236816 -3511.159912
-5697.532227 -3502.483887
-5701.183105 -3500.537109
-5716.245117 -3494.52002
-5728.690918 -3486.73999
-5743.147949 -3479.928955
-5763.209961 -3473.819092
-5785.753906 -3465.146973
-5807.826172 -3460.006104
-5837.153809 -3448.591064
-5868.736816 -3430.993896
-5882.493164 -3424.095947
-5901.817871 -3412.866943
-5928.172852 -3391.745117
-5937.722168 -3384.321045
-5955.077148 -3377.154053
-5973.225098 -3369.368896
-5996.434082 -3355.75293
-6019.966797 -3345.049072
-6034.646973 -3341.856934
-6054.731934 -3324.978027
-6072.236816 -3311.366943
-6089.366211 -3300.582031
-6110.699219 -3290.322998
-6136.900879 -3275.644043
-6156.453125 -3268.033936
-6173.294922 -3259.366943
-6191.824219 -3248.756104
-6221.758789 -3238.13501
-6242.866211 -3224.25708
-6270.469238 -3209.75293
-6286.194824 -3198.791992
-6296.312012 -3187.131104
-6299.13916 -3176.712891
-6299.312012 -3159.5
-6281.960938 -3140.095947
-6266.051758 -3125.899902
-6251.410156 -3107.553955
-6228.01709 -3096.012939
-6202.805176 -3082.091064
-6181.133789 -3073.637939
-6157.834961 -3061.391113
-6130.368164 -3053.648926
-6114.397949 -3045.190918
-6101.13916 -3037.789062
-6077.423828 -3023.334961
-6062.818848 -3010.020996
-6043.289062 -3001.763916
-6023.361816 -2990.727051
-6020.660156 -2990.004883
-6008.227051 -2986.680908
-5993.089844 -2982.635986
-5971.741211 -2977.094971
-5971.741211 -2977.094971
-5938.039062 -2978.62793
-5917.618164 -2976.794922
-5894.904785 -2976.110107
-5871.584961 -2974.63208
-5845.74707 -2970.684082
-5845.74707 -2970.684082
-5805.317871 -2969.2229
-5784.195801 -2967.302002
-5764.759766 -2963.436035
-5764.759766 -2963.436035
-5743.164062 -2965.045898
-5721.413086 -2973.099121
-5697.182129 -2983.715088
-5689.092773 -2985.575928
-5663.212891 -3003.166992
-5648.564941 -3011.391113
-5637.615234 -3018.639893
-5607.076172 -3028.467041
-5597.108887 -3033.685059
-5578.638184 -3038.556885
-5556.851074 -3041.580078
-5538.229004 -3052.895996
-5516.290039 -3062.363037
-5498.74707 -3070.940918
-5476.581055 -3076.789062
-5466.708984 -3081.300049
-5446.741211 -3086.704102
-5420.976074 -3092.820068
