cX cY counts time
-6050 -3270 75 300
-6050 -3165 371 300
-5925 -3320 1931 300
-5925 -3165 4357 300
-5800 -3350 2114 300
-5800 -3165 2318 300
-5625 -3350 1975 300
-5700 -3260 1912 300
-5700 -3220 1902 300
-5700 -3180 1882 300
-5700 -3140 3017 300
-5700 -3100 6570 600
-5660 -3260 2616 300
-5660 -3220 2275 300
-5660 -3180 2432 300
-5660 -3140 2754 300
-5660 -3100 3452 300
-5620 -3260 1726 400
-5620 -3220 2118 300
-5620 -3180 2269 300
-5620 -3140 4629 400
-5620 -3100 1840 300
-5580 -3260 2691 360
-5580 -3220 4084 300
-5580 -3180 2187 400
-5580 -3140 4531 300
-5580 -3100 2022 300
-5540 -3260 1822 300
-5540 -3220 2800 300
-5540 -3180 2722 300
-5540 -3140 4083 300
-5540 -3100 1650 400
-5450 -3350 2890 300
-5450 -3165 2776 300
-5330 -3430 2525 300
-5330 -3390 3580 300
-5330 -3350 2960 300
-5330 -3310 3100 300
-5330 -3270 3611 300
-5290 -3430 1813 200
-5290 -3390 2560 300
-5290 -3350 3733 300
-5290 -3310 2273 300
-5290 -3270 3437 300
-5250 -3430 2603 300
-5250 -3390 2148 200
-5250 -3350 5636 600
-5250 -3310 3050 300
-5250 -3270 3287 300
-5210 -3430 2603 300
-5210 -3390 4044 300
-5210 -3350 2560 300
-5210 -3310 3019 300
-5210 -3270 2407 300
-5170 -3430 2735 200
-5170 -3390 3020 300
-5170 -3350 2215 300
-5170 -3310 3414 300
-5170 -3270 1688 300
-5050 -3300 3447 300
-5050 -3165 1091 300
-4900 -3200 3279 300
-4900 -3100 3101 300
-4700 -3025 2370 300
-4500 -3000 2902 300
-4500 -2920 1401 300
-4300 -2860 892 300
-4100 -2710 1872 300
-3900 -2660 2610 300
-3700 -2560 3548 300
-3500 -2510 2652 300
-3300 -2460 2625 300
-3100 -2440 2314 300
-2900 -2410 2148 300
-2700 -2360 2574 300
-2500 -2310 2838 300
-2300 -2260 2888 300
-2100 -2210 1983 300
-1900 -2160 1945 300
-1700 -2110 1255 300
-1500 -2080 3296 300
-1300 -2100 1552 300
-1200 -2000 2542 300
-1000 -2120 1705 300
-1000 -2000 2249 300
-800 -2150 690 300
-800 -2000 1767 300
-800 -1800 1577 300
-680 -1880 2581 300
-680 -1840 3083 300
-680 -1800 4780 600
-680 -1760 7021 600
-680 -1720 4025 600
-640 -1880 2310 300
-640 -1840 2605 300
-640 -1800 3925 600
-640 -1760 4557 600
-640 -1720 3423 600
-600 -2200 929 300
-600 -2000 2811 300
-600 -1880 1464 300
-600 -1840 2467 300
-600 -1800 5815 900
-600 -1760 3540 600
-600 -1720 6463 600
-560 -1880 1688 300
-560 -1840 1864 300
-560 -1800 3805 600
-560 -1760 3230 600
-560 -1720 2875 600
-530 -1600 678 300
-520 -1880 2381 300
-520 -1840 2075 300
-520 -1800 3512 600
-520 -1760 3668 600
-520 -1720 3424 600
-480 -1480 2865 400
-480 -1440 2363 400
-480 -1400 3962 600
-440 -1480 2639 400
-440 -1440 2959 400
-440 -1400 3500 600
-440 -1360 2902 600
-440 -1320 1314 600
-400 -2200 1196 300
-400 -2000 2005 300
-400 -1800 2410 300
-400 -1600 2809 300
-400 -1480 3461 400
-400 -1440 4318 400
-400 -1400 3824 900
-400 -1360 4071 600
-400 -1320 4376 600
-360 -1480 2827 400
-360 -1440 1677 400
-360 -1400 3701 600
-360 -1360 3021 600
-360 -1320 4156 600
-320 -1480 3153 400
-320 -1440 3281 400
-320 -1400 2935 600
-320 -1360 3026 600
-320 -1320 3612 600
-250 -2000 948 300
-220 -1800 1314 300
-220 -1600 788 300
-200 -1400 1323 300
-200 -1200 1948 300
-200 -1000 2446 300
-200 -800 2481 300
-200 -600 21386 1800
-200 -400 17168 1800
-200 -200 5905 1240
-200 0 12278 1800
-70 -800 1248 300
-50 -600 1074 200
-50 -400 1205 200
